2024-08-05 21:30:40.939 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@5b619d14
2024-08-05 21:30:40.939 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@66746f57
2024-08-05 21:30:40.940 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@447a020
2024-08-05 21:30:40.940 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@7f36662c
2024-08-05 21:30:40.940 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@28e8dde3
2024-08-05 21:30:40.940 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@6d23017e
2024-08-05 21:30:40.940 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@54dcfa5a
2024-08-05 21:30:40.941 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@1817f1eb
2024-08-05 21:30:40.941 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@767e20cf
2024-08-05 21:30:40.941 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@3a3e78f
2024-08-05 21:30:40.941 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@301ec38b
2024-08-05 21:30:40.941 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@17a1e4ca
2024-08-05 21:30:40.941 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@10ded6a9
2024-08-05 21:30:40.942 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@c5dc4a2
2024-08-05 21:30:40.942 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@4a194c39
2024-08-05 21:30:40.942 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@52066604
2024-08-05 21:30:40.942 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@340b9973
2024-08-05 21:30:40.942 | [main] | DEBUG | o.a.p.internal.core.ListenerManager:60 | Removing listener org.asteriskjava.pbx.internal.core.ListenerManagerTest$1@56113384
